,rating,rating_title,rating_description,rating_pros,rating_cons
151,5.0,Excelente ambiente de trabajo,"Excelente compañía para trabajar, exigentes pero entregan todas las herramientas para poder hacer tu trabajo, con la capacidad de poder levantar la mano para pedir ayuda o ofrecer la ayuda",,
152,5.0,work / Life balance,"a. Managed entire 120 project engagements. b. Opportunity learn New technologies . c. Workplace was cool and flexible timing . d. Heavy Tech Sack. e. food, entertainment,  cultural programs",,
153,5.0,Productive workplace,Productive workplace you learn a lot good for interns helps kickstart your career. Good for your cv its easy to be hired in future.Requires focused person.,Free lunch,Long hours
154,4.0,Laid Back Workplace,"Google Fiber had a very laid back work place environment. The offered areas to rest on your break so you did not have to worry about commuting home for lunch, etc.",,
155,5.0,Super expérience,"Expérience formatrice, tant professionnellement qu'humainement",,
156,2.0,Empresa muito grande e rígida,Trabalhar no YouTube exige estar sempre atualizado,Bons ganhos,Regras em constante modificações
157,5.0,Work Experience,Working with Wipro under google client is so good And working 24/7 is quite difficult but when we show more interest the work will be too good.And the Team lead is so helpful whenever any issues are  there he will sort it out .And the work culture is also too good.,,
158,5.0,Collaborative and exciting workplace,"Collaborative working environment, fast paced, lots of social activities, lots of working flexibility, very open culture and a great place to be if you want to learn and continue to be challenged at work.",,
159,4.0,Good to do for a few years,It was great and fulfilling to work here for a few years but after that it is wise to move on to higher paying jobs where you can be more effective. Also staying here can get you locked in to their proprietary tools and make it harder for you to start at another company,,
160,4.0,Amazing to work with people who wants to succeed,People at these company's was nice and seemed to genuinely care about the way your feeling about work. Everyone is worried about safety first then moving quickly and efficient.,,
161,3.0,I am a contractor at google,At Google work is very challenging and interesting. New requirements and there will be number of opportunities to grow in your career.. We have a large scope in learning new technologies and improvise our skills.,,
162,5.0,Stagiaire,Stage observatoire de troisième. Découverte des différents domaines.,,
163,3.0,Fun workplace,Working at Google was good. Work was very stressful. Initially work was very easy and good. But when the days bygone it was very hard to survive as there was lot of pressure.,,
164,4.0,"Great company to work for, even as a contractor!",Love working here as a country specialist. Job satisfaction is what I got the most. I got to see my mapping effort from start to finish (I have worked at another mapping company in Cupertino that is extremely secretive and only allow you to work on a small section of the mapping cycle).,,
