job_title,salary,company,location,job_summary,post_date,extract_date,job_url
STRATEGIC FEDERAL TAX SERVICES R&D SENIOR ASSOCIATE,,GRANT THORNTON,"Charlotte, NC","Field work typically involves visiting the client location, touring client facilities, investigating relevant facts, analyzing accounting information, preparing…",12 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=398e6e0f40cb978d&fccid=7ac82fceed64aa81&vjs=3
Senior Fund Accountant | Real Estate,,CRG,"Charlotte, NC","Assist with planning, directing, and coordinating accounting operational functions.
Review administrator prepared investor allocations to ensure proper…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=99a8a06091fc4115&fccid=89dc50970b63c4cd&vjs=3
Tax Accountant,,Godshall Colgate,"Charlotte, NC","Tax planning and tax projection experience.
Bachelor’s degree in accounting.
5 years tax preparation experience (individual, partnership, S Corps, multi-state).",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=c344c19057579446&fccid=091aff9ac1068798&vjs=3
"Senior Auditor - Charlotte, NC",,Dentsply Sirona,"Charlotte, NC","Some experience planning and executing audits.
Dentsply Sirona’s products provide innovative, high-quality and effective solutions to advance patient care and…",13 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=6a1340e9818ad21d&fccid=bb44f58e3327622b&vjs=3
Senior Tax Analyst,,Electrolux,"Charlotte, NC","Possible areas of responsibility include, but are not limited to: data input; analysis and processing information into corporate reporting system and tax…",19 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=ddc2c535e79b4a1b&fccid=3a6b309410a33a62&vjs=3
Senior Manager Indirect Tax,,Lowe's,"Mooresville, NC","LWS_USA_Taxes Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=74bce11b7ec14f16&fccid=9a55d5dc8c10ef41&vjs=3
Sr Tax Accountant - Audit,,Spectrum,"Charlotte, NC","Responsible for supporting audits, planning and controls by scheduling, monitoring and presenting data under the direction and supervision of the Audit Director…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=7ad078f48a08afa7&fccid=c2d1b0769a534b4d&vjs=3
"Tax Senior Associate, Insurance",,Dixon Hughes Goodman,"Charlotte, NC","Manage client work flow through proactive communication with client personnel, appropriate delegation to staff, and proper planning with senior managers and…",13 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=d4e4f2aedc2fb422&fccid=8f2022a14c83ea0a&vjs=3
Sr. Director Internal Audit,,Honeywell,"Charlotte, NC","Own and oversee the development of the Corporate Audit Risk Assessment program.
Deliver specialized finance and business audits, business assessments, and…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=430c246d13422583&fccid=50208b5bf45ee3b8&vjs=3
Senior Assurance Associate,,"GreerWalker, LLP","Charlotte, NC","Minimum of three years of experience as a staff accountant.
Technical knowledge sufficient to supervise staff accountant as well as review their work.",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=2f08287981010dc9&fccid=3c9696c129c591c6&vjs=3
